,NAV,Change
1994-12-31,51209.37719537752,-0.004773926258912086
1995-01-31,50964.907404881975,0.022141336743094195
1995-02-28,52093.33858181408,0.01250076952464944
1995-03-31,52744.54540119487,0.02589696653683204
1995-04-30,54110.46912845003,0.045875005360879545
1995-05-31,56592.78718979738,0.024757413453957072
1995-06-30,57993.878220767,-0.002376655402146693
1995-07-31,57856.04675680218,0.0032828306121230593
1995-08-31,58045.97835819183,0.029750822742317076
1995-09-30,59772.89397123077,0.015213435686210738
1995-10-31,60682.24504944078,0.007840590621298311
1995-11-30,61158.02969085475,0.018308414844672407
1995-12-31,62277.736269517714,0.013142138152315859
1996-01-31,63096.19888338521,0.00015353065572465505
1996-02-29,63105.88608417351,-0.02189771422167266
1996-03-31,61724.01142499685,0.0024361284293736435
1996-04-30,61874.379044004265,0.010392804129612547
1996-05-31,62517.427346050004,0.0026904489708404204
1996-06-30,62685.627294112775,0.022462103965007547
1996-07-31,64093.67837150485,0.04281467248579489
1996-08-31,66837.8282193907,0.008412558000952816
1996-09-30,67400.10532594405,0.029546603590928526
1996-10-31,69391.54951999655,0.02581172451765351
1996-11-30,71182.66508005981,-0.000510069801449971
1996-12-31,71146.35695221575,0.0012354176065795344
1997-01-31,71234.25241423851,0.006998564398613035
1997-02-28,71732.78991714661,-0.018712648214358314
1997-03-31,70390.47945399258,0.008765821816494218
1997-04-30,71007.50985446387,0.01963654180180241
1997-05-31,72401.85178996295,0.03765876504114767
1997-06-30,75128.41611506516,0.03049189005046034
1997-07-31,77419.22351891096,0.006827243478484927
1997-08-31,77947.78340778982,0.022968432695945375
1997-09-30,79738.12182478976,0.010232578369241165
1997-10-31,80554.04840537802,0.010969321167936957
1997-11-30,81437.67163371416,-0.0006712156883338201
1997-12-31,81383.00939089223,0.0233018276842464
1998-01-31,83279.3822521442,0.0020856487904161642
1998-02-28,83453.073795005,0.007007224478431155
1998-03-31,84037.84821650168,0.014812710818606679
1998-04-30,85282.67655995068,0.0062756962082765565
1998-05-31,85817.88472986963,0.0038736192542319454
